epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.393,1.80782,2.16233,1.53753,0.47384,0.37203,0.3417,0.11135,2.33876,2.30672,1.89814,0.000555098,0.000555098,0.000555098
2,1239.23,1.70422,1.65524,1.47086,0.58028,0.50317,0.52019,0.20668,1.89777,1.65141,1.63914,0.00107411,0.00107411,0.00107411
3,1600.97,1.68146,1.5415,1.46625,0.63284,0.58598,0.60897,0.29407,1.70816,1.52566,1.50795,0.00155645,0.00155645,0.00155645
4,1962.57,1.63856,1.43906,1.44124,0.69695,0.65092,0.70616,0.353,1.64209,1.24535,1.48297,0.00150197,0.00150197,0.00150197
5,2356.04,1.60248,1.35239,1.41519,0.77039,0.68874,0.76516,0.39408,1.60014,1.08505,1.47181,0.00144696,0.00144696,0.00144696
6,2546,1.57112,1.28198,1.39562,0.76692,0.68382,0.76316,0.39788,1.58318,1.10418,1.45281,0.00139195,0.00139195,0.00139195
7,2716.68,1.54034,1.22368,1.37315,0.81517,0.67114,0.76926,0.37618,1.64866,1.09919,1.48211,0.00133693,0.00133693,0.00133693
8,2865.73,1.52428,1.187,1.35891,0.82578,0.70635,0.79822,0.4175,1.56649,1.00867,1.43403,0.00128192,0.00128192,0.00128192
9,3013.14,1.50288,1.14251,1.3481,0.8227,0.72856,0.81552,0.44084,1.51968,0.95019,1.40202,0.00122691,0.00122691,0.00122691
10,3160.21,1.47481,1.09722,1.32998,0.80977,0.73362,0.81221,0.43562,1.54072,0.95947,1.41425,0.0011719,0.0011719,0.0011719
11,3307.84,1.4641,1.07321,1.31468,0.84423,0.75157,0.83136,0.45345,1.49364,0.91044,1.38238,0.00111689,0.00111689,0.00111689
12,3458.43,1.44353,1.04332,1.30668,0.85231,0.74373,0.84035,0.4526,1.52297,0.88369,1.40753,0.00106188,0.00106188,0.00106188
13,3606.92,1.42518,1.00695,1.29452,0.8697,0.77075,0.86302,0.4852,1.46931,0.83103,1.36728,0.00100687,0.00100687,0.00100687
14,3756.44,1.39549,0.97898,1.2762,0.84806,0.79013,0.85888,0.48034,1.46901,0.81632,1.36241,0.000951857,0.000951857,0.000951857
15,3904.96,1.37828,0.95058,1.26236,0.87434,0.78796,0.87126,0.48561,1.47968,0.80246,1.36436,0.000896846,0.000896846,0.000896846
16,4053.68,1.36741,0.94,1.25944,0.8686,0.79643,0.87203,0.49055,1.46572,0.78838,1.35718,0.000841835,0.000841835,0.000841835
17,4203.77,1.35259,0.91334,1.24689,0.88073,0.8046,0.87894,0.50094,1.44302,0.76499,1.34896,0.000786824,0.000786824,0.000786824
18,4354.81,1.32853,0.89557,1.23493,0.87893,0.80674,0.88043,0.50554,1.42643,0.75729,1.33514,0.000731813,0.000731813,0.000731813
19,4503.64,1.322,0.87875,1.22695,0.88667,0.80486,0.88251,0.50569,1.43784,0.74989,1.34658,0.000676802,0.000676802,0.000676802
20,4652.5,1.29858,0.85491,1.21248,0.87937,0.82178,0.88861,0.51469,1.42614,0.73038,1.33613,0.000621791,0.000621791,0.000621791
21,4825.6,1.27258,0.76633,1.21918,0.88959,0.81679,0.88813,0.51644,1.41745,0.72728,1.31987,0.00056678,0.00056678,0.00056678
22,4974.82,1.2528,0.74621,1.20463,0.89288,0.82222,0.89032,0.51637,1.41259,0.71404,1.31966,0.000511769,0.000511769,0.000511769
23,5123.69,1.22854,0.72134,1.19262,0.88983,0.82148,0.89593,0.52346,1.39976,0.70899,1.32591,0.000456758,0.000456758,0.000456758
24,5270.62,1.20548,0.70439,1.18033,0.89741,0.82567,0.8919,0.52055,1.39329,0.70699,1.318,0.000401747,0.000401747,0.000401747
25,5417.01,1.1821,0.68147,1.16181,0.88572,0.82426,0.88921,0.5249,1.39014,0.69799,1.31143,0.000346736,0.000346736,0.000346736
26,5561.26,1.15858,0.66936,1.14903,0.90065,0.82247,0.89478,0.53074,1.38616,0.69268,1.30208,0.000291725,0.000291725,0.000291725
27,5706.75,1.14152,0.65187,1.13827,0.88862,0.82689,0.89328,0.52834,1.38512,0.68816,1.30706,0.000236714,0.000236714,0.000236714
28,5852.83,1.11761,0.63556,1.12944,0.90044,0.8266,0.8977,0.53238,1.38534,0.68467,1.30777,0.000181703,0.000181703,0.000181703
29,5997.34,1.10145,0.62322,1.12248,0.9021,0.82763,0.89852,0.53253,1.37955,0.67283,1.30558,0.000126692,0.000126692,0.000126692
30,6141.66,1.08741,0.61438,1.11302,0.89971,0.83051,0.9014,0.53348,1.37693,0.67206,1.30379,7.1681e-05,7.1681e-05,7.1681e-05
