epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5182,1.13311,2.0894,1.11913,0.90029,0.90373,0.93575,0.57527,1.18329,2.07552,1.20631,0.000661905,0.000661905,0.000661905
2,54.6686,1.12032,1.39654,1.09298,0.90903,0.86889,0.92421,0.6415,1.08251,1.41199,1.23194,0.00128473,0.00128473,0.00128473
3,79.8912,1.11419,1.13411,1.11392,0.90526,0.86025,0.92885,0.65838,1.03186,1.40779,1.14344,0.00186355,0.00186355,0.00186355
4,105.511,1.1043,0.99554,1.12888,0.97295,0.90683,0.97115,0.70733,0.99592,0.83796,1.09194,0.001802,0.001802,0.001802
5,130.144,1.03711,0.83534,1.08596,0.93087,0.91304,0.97052,0.709,0.96329,0.81864,1.08353,0.001736,0.001736,0.001736
6,154.598,1.01282,0.79051,1.07658,0.94247,0.91576,0.97225,0.72179,0.94169,0.77871,1.08193,0.00167,0.00167,0.00167
7,179.077,0.97219,0.73715,1.05691,0.9467,0.93774,0.97062,0.72108,0.91987,0.67073,1.08649,0.001604,0.001604,0.001604
8,205.036,0.97199,0.70227,1.06236,0.94767,0.95609,0.98537,0.72995,0.90656,0.59312,1.08571,0.001538,0.001538,0.001538
9,230.292,0.94999,0.67294,1.03997,0.94959,0.93168,0.98104,0.74944,0.87339,0.60615,1.05502,0.001472,0.001472,0.001472
10,255.177,0.94558,0.68615,1.04825,0.96267,0.93478,0.98686,0.76506,0.82575,0.57438,1.01916,0.001406,0.001406,0.001406
11,280.451,0.89584,0.6153,1.0196,0.96312,0.97327,0.98749,0.76117,0.83669,0.55625,1.00913,0.00134,0.00134,0.00134
12,306.058,0.92535,0.63993,1.03204,0.96276,0.95963,0.98945,0.74443,0.88635,0.56549,1.03108,0.001274,0.001274,0.001274
13,331.207,0.90065,0.62939,1.01857,0.98746,0.97787,0.99212,0.78501,0.80408,0.52413,0.97371,0.001208,0.001208,0.001208
14,356.256,0.86408,0.59033,1.01607,0.97484,0.96252,0.98143,0.7706,0.7831,0.52192,0.98348,0.001142,0.001142,0.001142
15,381.636,0.84495,0.57075,0.99985,0.98316,0.95963,0.99227,0.77929,0.7935,0.49931,0.98053,0.001076,0.001076,0.001076
16,406.707,0.85131,0.56849,1.00143,0.96938,0.98318,0.99042,0.7998,0.74193,0.47644,0.96424,0.00101,0.00101,0.00101
17,431.81,0.84416,0.54768,0.99413,0.96894,0.96874,0.98399,0.79954,0.73181,0.46652,0.95411,0.000944,0.000944,0.000944
18,456.901,0.81366,0.52776,0.99524,0.99685,0.9831,0.99454,0.80529,0.73935,0.43269,0.96537,0.000878,0.000878,0.000878
19,482.62,0.82957,0.53276,0.98373,0.96641,0.98286,0.97572,0.78856,0.72313,0.46958,0.9614,0.000812,0.000812,0.000812
20,508.492,0.78261,0.50491,0.97803,0.96336,0.97983,0.99201,0.80304,0.72729,0.4273,0.96185,0.000746,0.000746,0.000746
21,574.479,0.73138,0.45081,0.95108,0.98409,0.98758,0.99217,0.8031,0.72053,0.44018,0.95762,0.00068,0.00068,0.00068
22,599.494,0.72249,0.44774,0.96031,0.97073,0.98137,0.97917,0.78754,0.74318,0.4341,0.95934,0.000614,0.000614,0.000614
23,625.878,0.70635,0.43286,0.94155,0.97355,0.97826,0.98901,0.80431,0.73739,0.42162,0.95116,0.000548,0.000548,0.000548
24,651.758,0.69691,0.41881,0.94299,0.99162,0.98137,0.99445,0.81583,0.70714,0.39894,0.93114,0.000482,0.000482,0.000482
25,677.703,0.69085,0.41475,0.93649,0.98976,0.98758,0.99388,0.82728,0.66724,0.38135,0.92303,0.000416,0.000416,0.000416
26,703.984,0.67919,0.40282,0.92991,0.99356,0.98137,0.9939,0.83059,0.66077,0.38473,0.91266,0.00035,0.00035,0.00035
27,730.103,0.65742,0.3808,0.90792,0.9876,0.98903,0.99386,0.82908,0.67109,0.37692,0.91915,0.000284,0.000284,0.000284
28,756.226,0.63645,0.37518,0.91402,0.98385,0.99379,0.99128,0.82966,0.65507,0.36142,0.91683,0.000218,0.000218,0.000218
29,781.412,0.63545,0.36672,0.90885,0.98455,0.98979,0.99431,0.83395,0.64892,0.35046,0.91166,0.000152,0.000152,0.000152
30,806.718,0.61742,0.36092,0.90836,0.98658,0.99379,0.99459,0.84165,0.63855,0.34253,0.90954,8.6e-05,8.6e-05,8.6e-05
