epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1199,1.6554,3.00641,1.45939,0.35791,0.45706,0.30595,0.15798,1.52707,3.12282,1.51556,0.000474349,0.000474349,0.000474349
2,101.4,1.57739,2.29822,1.4312,0.46727,0.44139,0.44324,0.22597,1.51837,2.36556,1.46107,0.000919309,0.000919309,0.000919309
3,141.247,1.57902,1.95745,1.42814,0.66853,0.65274,0.68585,0.36502,1.49058,1.74479,1.44877,0.00133283,0.00133283,0.00133283
4,182.483,1.56507,1.69846,1.41873,0.80332,0.73047,0.82023,0.48614,1.37046,1.49592,1.3686,0.00128753,0.00128753,0.00128753
5,221.703,1.52511,1.57689,1.42933,0.84726,0.66987,0.78532,0.45324,1.4665,1.4049,1.41409,0.00124037,0.00124037,0.00124037
6,260.765,1.48035,1.4107,1.39519,0.82326,0.74619,0.82778,0.50143,1.35085,1.20594,1.35206,0.00119322,0.00119322,0.00119322
7,300.341,1.42503,1.32016,1.34534,0.80194,0.74595,0.83957,0.53138,1.30227,1.21103,1.31224,0.00114606,0.00114606,0.00114606
8,339.007,1.44987,1.27025,1.36327,0.91042,0.74318,0.87461,0.55087,1.30637,0.97479,1.28842,0.0010989,0.0010989,0.0010989
9,377.844,1.40612,1.19974,1.32394,0.88121,0.73843,0.86447,0.56545,1.26404,1.02152,1.27073,0.00105174,0.00105174,0.00105174
10,417.297,1.40024,1.16666,1.31832,0.90046,0.78603,0.8858,0.57165,1.23994,0.91892,1.27623,0.00100459,0.00100459,0.00100459
11,456.439,1.35554,1.13841,1.31447,0.8533,0.76534,0.85788,0.55025,1.28378,0.93412,1.29785,0.00095743,0.00095743,0.00095743
12,495.289,1.36369,1.12201,1.30608,0.91656,0.78956,0.8863,0.57865,1.20405,0.87377,1.22531,0.000910273,0.000910273,0.000910273
13,533.615,1.32011,1.06012,1.27154,0.92426,0.79778,0.91368,0.59627,1.21135,0.86776,1.24614,0.000863116,0.000863116,0.000863116
14,572.776,1.32808,1.0512,1.27604,0.9253,0.81359,0.91518,0.61326,1.17298,0.77103,1.20028,0.000815959,0.000815959,0.000815959
15,611.505,1.28757,1.01525,1.25894,0.89795,0.84522,0.92754,0.61781,1.16172,0.75536,1.19499,0.000768802,0.000768802,0.000768802
16,650.513,1.28505,0.97971,1.24332,0.85965,0.83373,0.91227,0.60932,1.16799,0.79288,1.18113,0.000721645,0.000721645,0.000721645
17,690.974,1.27341,0.96754,1.25502,0.9105,0.86665,0.93127,0.64391,1.13517,0.73653,1.18216,0.000674488,0.000674488,0.000674488
18,730.248,1.23604,0.92405,1.22216,0.91476,0.83049,0.92899,0.64104,1.09208,0.6892,1.15175,0.000627331,0.000627331,0.000627331
19,769.279,1.22204,0.91992,1.21786,0.90888,0.86625,0.93925,0.63795,1.10695,0.70081,1.16609,0.000580174,0.000580174,0.000580174
20,810.387,1.21855,0.88582,1.22044,0.8867,0.84232,0.91919,0.63602,1.09558,0.70241,1.15957,0.000533017,0.000533017,0.000533017
21,888.872,1.1677,0.76478,1.20314,0.90936,0.86851,0.93677,0.65242,1.08723,0.65625,1.1488,0.00048586,0.00048586,0.00048586
22,928.784,1.16786,0.75596,1.20033,0.9071,0.86625,0.93412,0.65883,1.08515,0.67089,1.14403,0.000438703,0.000438703,0.000438703
23,968.236,1.14686,0.74665,1.19054,0.91044,0.89814,0.95512,0.67139,1.04236,0.61972,1.12295,0.000391546,0.000391546,0.000391546
24,1007.6,1.11497,0.6919,1.175,0.89807,0.89572,0.94293,0.66882,1.01755,0.62786,1.12234,0.000344389,0.000344389,0.000344389
25,1046.3,1.10749,0.67522,1.17053,0.94024,0.89405,0.9571,0.68945,0.99662,0.58344,1.10221,0.000297232,0.000297232,0.000297232
26,1084.85,1.07928,0.64762,1.14233,0.93703,0.89569,0.96079,0.69183,0.99626,0.58321,1.09948,0.000250075,0.000250075,0.000250075
27,1123.27,1.061,0.63619,1.13988,0.94704,0.90344,0.96401,0.69953,0.97852,0.56648,1.09737,0.000202918,0.000202918,0.000202918
28,1166.34,1.04785,0.61035,1.14387,0.93692,0.90476,0.9613,0.70754,0.97465,0.54989,1.08789,0.000155761,0.000155761,0.000155761
29,1214.02,1.03163,0.61099,1.13171,0.94696,0.88717,0.96076,0.70494,0.94965,0.55333,1.0729,0.000108604,0.000108604,0.000108604
30,1258.14,1.00546,0.59386,1.11233,0.94922,0.90321,0.9659,0.71764,0.93639,0.53502,1.06681,6.1447e-05,6.1447e-05,6.1447e-05
